Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
"SveuäIliå¡Te U Zagrebu, Studentski Centar",G&A,"$44,299",Zagreb student center for internship recruiting,Optimize costs
Ss&C Intralinks Inc,M&A,"$39,966",Virtual data room for M&A transactions,Optimize costs
Veniture D.O.O.,Facilities,"$39,342",Coworking or office space provider,Consolidate
Accutrainee Limited,G&A,"$38,841",Training and recruitment services,Consolidate
Mason Frank International Ltd,G&A,"$38,148",Talent acquisition and recruitment services,Consolidate
"Houlihan Lokey Advisors, Llc",M&A,"$37,461",Investment banking and M&A advisory,Optimize costs
Vector Capital Management Lp,M&A,"$32,427",Private equity and M&A advisory services,Optimize costs
Hubspot Ireland Limited,Marketing,"$32,187",Marketing automation and CRM platform,Consolidate
Nefron - Obrt Za Poslovne Usluge,Professional Services,"$30,614",Croatian business services provider,Optimize costs
"Planful, Inc.",Finance,"$27,741",Financial planning and accounting software,Consolidate
Cognism Limited,Sales,"$27,013",B2B contact data and sales intelligence,Consolidate
Uberflip,Marketing,"$26,091",Content marketing and experience platform,Optimize costs
Agram Life Osiguranje D.O.O.,G&A,"$24,952",Croatian life insurance provider for employees,Optimize costs
Google Ireland Limited,SaaS,"$24,798",Workspace collaboration and productivity tools,Consolidate
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,Legal,"$24,135",Croatian law firm for legal services,Optimize costs
Care Health Insurance Company Limited,G&A,"$24,045",Employee health and insurance benefits,Consolidate
New Star Networks(Nsn),Engineering,"$23,887",Network and telecom infrastructure services,Optimize costs
Bupa- Supplier,G&A,"$22,800",Employee health and insurance benefits,Consolidate
Shree Info System Solutions Pvt Ltd,Engineering,"$22,275",IT services and systems integration,Optimize costs
Technet It Recruitment,G&A,"$21,952",Talent acquisition and recruitment services,Consolidate
Mightyhive Ltd,Marketing,"$19,042",Marketing analytics and advertising technology,Optimize costs
Cedar Recruitment Ltd,G&A,"$18,537",Talent acquisition and recruitment services,Consolidate
Eurofast International Ltd-Greec,Finance,"$18,164",International tax and audit services,Optimize costs
Hrvatski Telekom D.D.,G&A,"$18,084",Telecommunications and mobile services,Consolidate
Sodexo Svc India Private Limited,Facilities,"$17,810",Facilities management and food services,Optimize costs
Peakon Aps,G&A,"$17,108",Employee engagement and feedback platform,Optimize costs
Plus Your Business Ltd,Finance,"$17,074",Accounting and business advisory services,Consolidate
Benefit Systems D.O.O.,G&A,"$16,900",Employee benefits administration platform,Optimize costs
Smart Group Services D.O.O.,Professional Services,"$16,438",Croatian business services and consulting,Optimize costs
Jones Lang Lasalle (Nsw) Pty Ltd,Facilities,"$16,274",Commercial real estate and facilities management,Optimize costs
"Workato, Inc.",SaaS,"$16,101",Integration and workflow automation platform,Optimize costs
Konzum Plus D.O.O.,Facilities,"$15,684",Croatian retail and food services for office,Optimize costs
Westbrook Advisers,M&A,"$15,360",M&A and financial advisory services,Consolidate
Work Easy Space Solutions Private Limited,Facilities,"$14,913",Coworking and flexible office space solutions,Consolidate
"Taxstudio, Ltd.",Finance,"$14,642",Tax preparation and advisory services,Consolidate
Pingo D.O.O.,Facilities,"$14,508",Croatian facilities or office services,Optimize costs
Magazin Raunalni Sistemi D.O.O.,Engineering,"$13,870",Croatian IT and computer systems provider,Optimize costs
Tp Prime D.O.O.,Facilities,"$13,785",Croatian business services provider,Optimize costs
Granttree Limited,Finance,"$13,659",R&D tax credit and grant consulting,Optimize costs
Cigna Sg,G&A,"$13,249",Employee health and insurance benefits,Consolidate
Collards Chartered Accountants,Finance,"$12,879",Chartered accounting and audit services,Consolidate
Bupa Australia,G&A,"$12,463",Employee health and insurance benefits,Consolidate
4I Management Consulting Private Limited,Professional Services,"$12,117",Management consulting services,Consolidate
"Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..",Facilities,"$11,637",Zagreb city planning office fees,Optimize costs
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,Professional Services,"$11,605",Croatian business consulting services,Consolidate
Ramiro D.O.O.,Facilities,"$11,516",Croatian facilities or business services,Optimize costs
Visalogic Limited,G&A,"$11,241",Immigration and visa services for employees,Optimize costs
Poles Ltd - Hanbury Manor,G&A,"$10,488",Event venue for corporate events,Terminate
Shoff Darby Companies,Professional Services,"$10,100",Business consulting services,Optimize costs
Emerge Development Consultancy Ltd,Professional Services,"$10,046",Development and business consulting,Optimize costs
Performancepro,G&A,"$10,018",Performance management software platform,Optimize costs
Microsoft Ireland Operations Limited,SaaS,"$9,822",Office productivity and collaboration suite,Consolidate
Catering Muring,Facilities,"$9,603",Employee catering and food services,Optimize costs
Omonia D.O.O.,Facilities,"$9,559",Croatian facilities or business services,Optimize costs
Outreach Corporation,Sales,"$9,206",Sales engagement and automation platform,Consolidate
Cbre Limited,Facilities,"$8,395",Commercial real estate and facilities services,Consolidate
Studentski Centar - Split,Facilities,"$8,269",Student center facility rental in Split Croatia,Optimize costs
The Guardian,Marketing,"$8,070",News media subscription for brand monitoring or advertising,Optimize costs
Intertrust Singapore Corporate Services Pte Ltd - Csc,Legal,"$7,360",Corporate secretarial services in Singapore,Consolidate
Goto Technologies Uk Limited,SaaS,"$7,316",GoTo meeting and collaboration platform,Consolidate
Hrsolution International Ag,G&A,"$6,987",HR management and consulting services,Consolidate
Trello,Product,"$6,674",Project management and task tracking,Consolidate
Obrt Sjaj Sunca,Facilities,"$6,596",Croatian facility or cleaning services provider,Optimize costs
Telefã³Nica Compras Electrã³Nicas S.L.,G&A,"$6,157",Spanish telecom services and connectivity,Optimize costs
Allianz Australia Workers' Compensation (Victoria) Limited,G&A,"$6,099",Employee health and insurance benefits,Consolidate
Icici Lombard Gic Ltd,G&A,"$5,972",Indian general insurance provider for business coverage,Optimize costs
Mosaic Concept D.O.O.,Facilities,"$5,731",Croatian business services possibly interior design,Optimize costs
Limes Plus D.O.O.,Facilities,"$5,624",Croatian business possibly facilities or cleaning,Optimize costs
Mercer Limited,G&A,"$5,444",Employee benefits and HR consulting firm,Consolidate
Acclime Corporate Services,Legal,"$5,413",Corporate services and compliance provider,Consolidate
Green Commute Initiative,G&A,"$5,402",Employee bike scheme and commute benefits,Optimize costs
Tattu Manchester Limited,G&A,"$5,366",Restaurant venue for business meals and events,Optimize costs
Athlete Service Ltd,Facilities,"$5,285",Corporate wellness or gym facility access,Optimize costs
Amazon Web Services Inc.,Engineering,"$5,153",Cloud infrastructure and computing services,Optimize costs
Telemach Hrvatska D.O.O.,G&A,"$5,134",Croatian telecom and internet service provider,Optimize costs
"Acclime Usa, Inc",Legal,"$4,995",US entity of Acclime corporate services group,Consolidate
Centar Za Sigurnost D.O.O.,Facilities,"$4,991",Croatian security center for physical security services,Optimize costs
Profi Bar D.O.O.,G&A,"$4,917",Croatian bar or cafe for employee refreshments,Optimize costs
Pricewaterhousecoopers Llp,Professional Services,"$4,879",Audit tax and financial advisory services,Consolidate
Pinnacle Partnership Ca,Professional Services,"$4,836",Professional services or consulting firm,Optimize costs
The Virtual Legal Counsel Ltd,Legal,"$4,800",Legal counsel and advisory services,Consolidate
Australian Payroll Professionals Pty Ltd,G&A,"$4,399",Payroll processing services for Australian employees,Optimize costs
Inter Continental Chennai Mahabalipuram Resort,G&A,"$4,393",Hotel resort for business travel or events,Optimize costs
Jetbrains S.R.O.,Engineering,"$4,083",Integrated development environment IDE software,Optimize costs
Crowe Horwath Revizija D.O.O.,Professional Services,"$4,062",Audit tax and financial advisory services,Consolidate
Puducherry Backwater Resort Private Limited,G&A,"$4,056",Indian resort for business events or offsites,Optimize costs
Orionw Llc,Professional Services,"$4,025",Consulting or professional services provider,Terminate
Adobe Systems Software,Marketing,"$3,929",Creative design and marketing software,Optimize costs
"Common Desk, Llc",Facilities,"$3,842",Flexible coworking and office space,Optimize costs
Hep Elektra D.O.O.,Facilities,"$3,735",Croatian electricity utility provider,Optimize costs
Zivi Napitak D.O.O.,G&A,"$3,700",Croatian beverage supplier for office,Optimize costs
Gym4You D.O.O.,Facilities,"$3,692",Croatian gym facility membership or access,Optimize costs
Aha! Labs Inc,Product,"$3,689",Product roadmap and management software platform,Consolidate
Apple Retail Uk Ltd,G&A,"$3,548",Hardware and device purchases,Optimize costs
"Kryterion, Inc.",G&A,"$3,541",Testing and certification platform services,Optimize costs
Npm Inc,Engineering,"$3,535",NPM enterprise package registry or services,Optimize costs
Pinsent Masons Mpillay Llp,Legal,"$4,078",International law firm for legal services,Consolidate
Calm Achiever(A Unit Of Mohsin Ali Vakil),G&A,"$4,071",Professional services or consulting unclear service,Terminate
Pluxee India Private Limited,G&A,"$3,994",Employee meal vouchers and benefits platform,Optimize costs
Oâ€™Donnell Salzano Lawyers,Legal,"$3,955",Legal counsel and advisory services,Consolidate
Papertrail Inc,Engineering,"$3,900",Log management and monitoring SaaS platform,Consolidate
Sniper Systems And Solutions Private Limited,Engineering,"$3,899",IT infrastructure and solutions provider,Optimize costs
Trocadero (London) Hotel Ltd,G&A,"$3,868",London hotel for business travel,Optimize costs
Semrush Inc,Marketing,"$3,730",SEO and digital marketing analytics,Optimize costs
Golubica Parking D.O.O.,Facilities,"$3,726",Employee parking and facilities services,Optimize costs
Vodafone (Australian),G&A,"$3,672",Telecommunications and mobile services,Consolidate
Ikea Hrvatska D.O.O.,Facilities,"$3,610",Office furniture and supplies from IKEA Croatia,Optimize costs
Orcola D.O.O.,Facilities,"$3,545",Croatian facilities or business services,Optimize costs
Info Edge India Limited,G&A,"$3,536",Job portal access for recruiting Naukri parent,Optimize costs
Grad Split,Facilities,"$3,483",City of Split government fees or taxes,Optimize costs
T-Mobile,G&A,"$3,357",Telecommunications and mobile services,Consolidate
Akton D.O.O.,Facilities,"$3,254",Croatian business services or facilities,Optimize costs
Bureau Veritas Croatia D.O.O.,Finance,"$3,200",Quality inspection and certification services,Optimize costs
Cici Prudential Life Insurance Co. Ltd.,G&A,"$3,195",Employee health and insurance benefits,Consolidate
Ncc Services Limited,Professional Services,"$3,036",Business consulting or support services,Optimize costs
Smartsheet Inc.,SaaS,"$2,995",Work management and collaboration platform,Consolidate
Good Game Global D.O.O.,Marketing,"$2,954",Gaming or entertainment marketing services,Terminate
Garaå¾A Firule D.O.O.,Facilities,"$2,930",Croatian parking garage facility services,Optimize costs
Crossland,Facilities,"$2,924",Construction or facilities management services,Optimize costs
It London,Engineering,"$2,838",IT services and support provider in London,Optimize costs
Terrapinn Holdings Ltd,Marketing,"$2,838",Events and conference organizer,Optimize costs
Elemental Life Solutions Llp,G&A,"$2,807",HR and employee benefits consulting services,Consolidate
United Flow Ltd (The Goodness Project),G&A,"$2,744",Corporate social responsibility or wellness program,Terminate
Mcburneys Charted Accountants,Finance,"$2,711",UK chartered accountancy firm providing audit and tax services,Optimize costs
Cleverland Winery Resort,G&A,"$2,663",Winery resort accommodation for team events or travel,Consolidate
Ag Grid Ltd,Engineering,"$2,653",JavaScript data grid component library for web applications,Optimize costs
Lusha,Sales,"$2,606",B2B contact data and sales intelligence,Consolidate
My Foodiverse Llp,Facilities,"$2,489",Employee catering and food services,Optimize costs
4Imprint Direct Ltd,Marketing,"$2,436",Promotional products and branded merchandise supplier,Consolidate
City Pantry Ltd,Facilities,"$2,419",Office meal delivery and catering service,Consolidate
Stipe Piric,Professional Services,"$2,302",Individual contractor for professional services,Consolidate
Office Move London,Facilities,"$2,293",Office relocation and moving services provider,Terminate
Pink Ribbon Shop,Marketing,"$2,251",Charity merchandise or promotional items,Terminate
Starhub Ltd (Supplier),G&A,"$2,205",Telecommunications and mobile services,Consolidate
N S Shastri And Co,Finance,"$2,194",Indian chartered accountancy and tax consulting firm,Optimize costs
John Smith,Professional Services,"$2,163",Individual contractor for professional services,Consolidate
Fabiola Thistlewhaite,Professional Services,"$2,154",Individual contractor for professional services,Consolidate
Hp Inc Uk Limited,G&A,"$2,136",HP hardware equipment and IT supplies,Consolidate
Cision Pr Newswire,Marketing,"$2,110",Press release distribution and media monitoring,Optimize costs
George Anchor,Professional Services,"$2,107",Individual contractor for professional services,Consolidate
"Yoxel, Inc",Engineering,"$2,044",Team collaboration and productivity software platform,Optimize costs
Grt Hotels And Resorts P Ltd,G&A,"$2,032",Hotel accommodation for business travel,Consolidate
Apple Pty Ltd,G&A,"$2,031",Hardware and device purchases,Optimize costs
Slack Technologies Limited,SaaS,"$1,989",Team messaging and collaboration platform,Consolidate
G S Notary Public Limited,Legal,"$1,935",Notary public services for legal documentation,Optimize costs
Apple Distribution International Ltd,G&A,"$1,913",Hardware and device purchases,Optimize costs
Porezno Savjetniå¡Tvo Tuk D.O.O.,Finance,"$1,813",Croatian tax consulting and advisory services,Optimize costs
Susan Lee,Professional Services,"$1,762",Individual contractor for professional services,Consolidate
Ansar Madovic,Professional Services,"$1,732",Individual contractor for professional services,Consolidate
"Radius Group, Inc",G&A,"$1,723",Travel management or corporate travel services,Consolidate
Aquila Remete D.O.O.,Facilities,"$1,706",Croatian restaurant or event venue services,Consolidate
Clime India Private Limited,G&A,"$1,678",Indian operational services provider,Optimize costs
"Golden Mean, Inc",Professional Services,"$1,659",Professional consulting or advisory services,Optimize costs
Paint & Fun Vl. Martina Milkova Nikolova,G&A,"$1,654",Team building activity and entertainment service,Consolidate
Carrington Communications,Marketing,"$1,654",Public relations and communications agency,Optimize costs
Crayond Digital Private Limited,Marketing,"$1,646",Digital marketing and web development agency,Consolidate
Studentski Centar Karlovac,G&A,"$1,549",Croatian student center venue for events,Consolidate
Lajnap Comedy Booking D.O.O.,G&A,"$1,536",Comedy entertainment booking for team events,Terminate
British Telecommunications,G&A,"$1,493",Telecommunications services provider,Consolidate
Etm Concessions Ltd,Facilities,"$1,419",Concession and catering services,Consolidate
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,G&A,"$1,406",Hotel accommodation for business travel,Consolidate
Ariba Inc,Finance,"$1,363",Procurement and spend management software,Optimize costs
Chamiers Recreation Club,G&A,"$1,338",Recreation club membership or venue services,Consolidate
Quadrant Law Llc,Legal,"$1,327",Legal counsel and advisory services,Consolidate
Docusign,SaaS,"$1,308",Electronic signature and document management,Optimize costs
Inside Edge Novated Leasing,Finance,"$1,287",Australian novated vehicle leasing service,Optimize costs
Rhea D.O.O.,G&A,"$1,253",Croatian service provider,Optimize costs
P S Recreation Club,G&A,"$1,219",Recreation club membership or venue services,Consolidate
Fastspring,Finance,"$1,179",E-commerce payment processing and subscription management,Optimize costs
Dsv Solutions A/S,G&A,"$1,162",Logistics and freight forwarding services,Optimize costs
Curzon Green Solicitors,Legal,"$1,158",Legal counsel and advisory services,Consolidate
Icare Nsw,Finance,"$1,150",Australian workers compensation insurance,Optimize costs
Thomas Mansfield Solicitors Limited,Legal,"$1,135",Legal counsel and advisory services,Consolidate
Amazon.Co.Uk,G&A,"$1,107",General supplies and equipment marketplace,Consolidate
Backoffice Associates,Professional Services,"$1,080",Back office support and administrative services,Consolidate
Oladi D.O.O.,Facilities,"$1,064",Croatian restaurant and catering service,Consolidate
Integrated Personnel Services,G&A,"$1,054",Staffing and recruitment services,Consolidate
Mãœller Trgovina Zagreb D.O.O.,G&A,"$1,051",Croatian retail and trade supplies,Optimize costs
Lunch Nutrition D.O.O.,Facilities,"$1,012",Croatian meal delivery and nutrition service,Consolidate
Winmaxi Tours & Travels,G&A,"$1,001",Travel booking and tour services,Consolidate
Digitalna Produkcija J.D.O.O.,Marketing,$993,Croatian digital production and media services,Consolidate
Computershare-Caboodle Technology Limited,Finance,$981,Share registry and equity management platform,Optimize costs
Allianz Wa,G&A,$971,Employee health and insurance benefits,Consolidate
Trending Technology Services Gmbh,Engineering,$961,German IT services and technology consulting,Optimize costs
"Godaddy.Com, Llc",Engineering,$923,Domain registration and web hosting services,Optimize costs
Time Out Group,Marketing,$920,Media and events publishing company,Optimize costs
Raiffeisenbank Austria D.D.,Finance,$920,Banking services for Croatian operations,Optimize costs
Galop-Prijevoz D.O.O.,Facilities,$908,Croatian transport and delivery service,Consolidate
Lane Ip Limited,Legal,$851,Intellectual property legal services,Consolidate
Urbani Eventi D.O.O.,Marketing,$851,Event planning and management services,Consolidate
Smashing Media Ag,Marketing,$850,Digital media and content services,Optimize costs
Epignosis Llc,SaaS,$833,Learning management system platform,Optimize costs
Croatia Airlines,G&A,$832,Air travel services in Croatia region,Consolidate
Bb Football Scouting J.D.O.O.,G&A,$823,Sports scouting or team building service,Terminate
Boe Croatia D.O.O.,G&A,$814,Croatian business services provider,Terminate
Potomac D.O.O.,G&A,$806,Croatian business services provider,Terminate
"President Hotel And Tower Co., Ltd",G&A,$803,Hotel accommodation in Asia,Consolidate
Friends Sports Club,Facilities,$797,Employee recreation and wellness facility,Optimize costs
The Cycle Gap Adyar,G&A,$765,Bicycle shop or transport service in Chennai,Terminate
Apple - Amer,G&A,$764,Hardware and device purchases,Optimize costs
Klg - Kalra Legal Group,Legal,$681,Legal counsel and advisory services,Consolidate
Kilgannon & Partners Llp,Legal,$681,Legal advisory and consulting services,Consolidate
Uk Postbox Limited,Facilities,$670,UK mail forwarding and virtual address,Optimize costs
Catering Iviä‡ D.O.O.,Facilities,$669,Employee catering and food services,Optimize costs
Blink Events,Marketing,$664,Event production and management services,Consolidate
Grafo-Jan,Marketing,$662,Printing or graphic design services,Optimize costs
Mesa Verde,G&A,$662,Restaurant or catering services,Consolidate
Pixsy Inc,Legal,$613,Image copyright protection platform,Optimize costs
Dun & Bradstreet D.O.O.,Finance,$610,Business intelligence and credit reporting,Optimize costs
Induslaw,Legal,$596,Legal counsel and advisory services,Consolidate
Trans-Agram Obrt Za Dostavu,Facilities,$581,Croatian delivery and courier service,Consolidate
Landu Law Solicitors,Legal,$568,Legal counsel and advisory services,Consolidate
Arena Center Zagreb D.O.O.,Facilities,$567,Event venue or meeting space in Zagreb,Optimize costs
Obrt Za Ugostiteljstvo Mirakul,G&A,$565,Croatian restaurant or catering service,Consolidate
Oakberry Jr D.O.O.,G&A,$535,Acai bowl restaurant chain,Consolidate
Tau On-Line D.O.O.,SaaS,$534,Croatian online service or software,Terminate
Magic Mountain Saloon,G&A,$524,Restaurant or bar services,Consolidate
Hotel Zonar,G&A,$523,Hotel accommodation services,Consolidate
Roto Dinamic D.O.O.,Marketing,$512,Printing or manufacturing services,Optimize costs
Tm Forum,G&A,$510,Telecom industry association membership,Terminate
Marvie Hotel - Krupa D.O.O.,G&A,$502,Hotel accommodation in Croatia,Consolidate
Merchandise Ltd,Marketing,$490,Promotional products and branded merchandise,Optimize costs
Yellow Submarine D.O.O.,G&A,$486,Restaurant or bar services,Consolidate
Streamlinereforms Inc,Professional Services,$483,Business process improvement consulting,Terminate
Make And Grow Ltd,Professional Services,$483,Business consulting and advisory services,Terminate
Obiteljski Hoteli D.O.O.,G&A,$474,Croatian family hotel chain,Consolidate
Rudan D.O.O.,G&A,$473,Croatian business services provider,Terminate
Entrio Tehnologije D.O.O.,SaaS,$473,Event ticketing and registration platform,Optimize costs
Vivat Fina Vina D.O.O.,G&A,$467,Croatian wine supplier for events,Consolidate
"Figma, Inc.",Product,$460,Collaborative design and prototyping tool,Optimize costs
E-Disti D.O.O.,G&A,$458,Croatian e-commerce or distribution service,Terminate
Greencell Express Private Limited,G&A,$457,Express transport service in India,Consolidate
Edwardian Pastoria Hotels Ltd (The Londoner),G&A,$433,Hotel accommodation in London,Consolidate
Tiganda J.D.O.O.,G&A,$432,Croatian business services provider,Terminate
"Franklin, Gringer & Cohen, P.C.",Legal,$427,Law firm legal advisory services,Consolidate
Blitz - Cinestar D.O.O.,Marketing,$426,Cinema advertising or entertainment venue,Terminate
Lancefield Bus Service,G&A,$412,Bus charter or transport service,Consolidate
Super Odrediå¡Te D.O.O.,G&A,$378,Croatian travel or tourism services,Consolidate
Pmi Global Operations Center,G&A,$378,Global operations or consulting service,Terminate
Student Packers & Movers,Facilities,$371,Office relocation and moving service,Terminate
Del Posto D.O.O.,G&A,$364,Italian restaurant services,Consolidate
Inicijativa Centar Za Edukaciju,Professional Services,$358,Croatian education center for professional training,Optimize costs
Niva Transport J.D.O.O.,Facilities,$358,Croatian transport and logistics services,Consolidate
Doctor Anywhere Operations Pte Ltd,G&A,$347,Singapore-based telemedicine and healthcare platform,Terminate
Spar Hrvatska D.O.O.,Facilities,$341,Croatian supermarket chain for office supplies/groceries,Consolidate
Pepe'S Italian And Liquor,G&A,$339,Restaurant and bar expenses,Consolidate
"Pluralsight, Llc",Engineering,$318,Tech training and online learning SaaS platform,Optimize costs
Maniax Melbourne Cbd,G&A,$315,Melbourne entertainment venue for team activities,Terminate
Dnsimple,Engineering,$312,Domain registration and DNS management service,Optimize costs
Treci Posao D.O.O.,G&A,$307,Croatian recruiting and staffing agency,Consolidate
Gaucho Restaurants,Facilities,$302,Employee catering and food services,Optimize costs
Formswift,Legal,$301,Document generation and legal forms SaaS tool,Optimize costs
Safestore Ltd,Facilities,$287,UK self-storage and warehousing services,Optimize costs
Split Tech City,Facilities,$284,Croatian tech hub and coworking space in Split,Consolidate
National Securities Depository Limited(Nsdl),Finance,$281,Indian securities depository for shareholder services,Optimize costs
Adamma Info Services Private Limited,Engineering,$273,Indian IT services and software development firm,Consolidate
The Riding House Cafe,G&A,$265,London restaurant for meals and hospitality,Consolidate
Stillmark Zagreb D.O.O.,G&A,$263,Croatian business services provider,Terminate
Lastpass Ireland Limited,G&A,$263,Password management and security tool,Consolidate
Taste Of Health,G&A,$259,Health-focused restaurant or catering service,Consolidate
Infodata,Engineering,$241,IT services and data management provider,Consolidate
Amazon (Aus),Facilities,$233,Amazon Australia for office supplies and equipment,Consolidate
Regency Hampers Ltd,Marketing,$248,UK corporate gift hampers and branded merchandise,Optimize costs
Bella Operation A/S,G&A,$241,Danish operations and business services,Terminate
The Plant Man,Facilities,$235,Office plant maintenance and landscaping services,Optimize costs
Media Promo Plus D.O.O.,Marketing,$226,Croatian marketing and promotional services agency,Consolidate
Expert-Ing D.O.O.,Facilities,$225,Croatian engineering consulting services,Terminate
Atlassian Pty Ltd,Engineering,$224,Software development and collaboration tools,Optimize costs
Djs For U,G&A,$220,DJ and entertainment services for events,Terminate
Freepik Company,Product,$203,Design resources and stock image subscriptions,Optimize costs
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,G&A,$199,Croatian public health institute for health services,Terminate
Rishi Events And Entainment,G&A,$198,Event planning and entertainment services,Consolidate
Kosmaz Technologies Croatia,Engineering,$195,Croatian IT and technology services provider,Consolidate
Dhl,Facilities,$191,International shipping and courier services,Consolidate
Hotel Laguna D.D.,G&A,$190,Croatian hotel for business travel accommodation,Consolidate
Bigshare Services Private Limited,Finance,$188,Indian share registry and investor services,Optimize costs
Zettanet,Engineering,$183,Network services and IT infrastructure provider,Consolidate
Hahn Air,G&A,$183,Airline ticketing and travel distribution services,Optimize costs
Vitality Works,G&A,$182,Wellness and employee health services provider,Optimize costs
Avoxi Inc,Engineering,$178,Cloud telephony and VoIP communications platform,Optimize costs
Zapier Inc.,SaaS,$167,Workflow automation and app integration,Consolidate
"Solarwinds, Inc",Engineering,$166,IT monitoring and management SaaS platform,Optimize costs
Xenon Savjetovanje D.O.O.,G&A,$164,Croatian consulting and advisory services,Terminate
Floom Ltd,G&A,$162,UK flower delivery service for gifts,Terminate
Notino S.R.O.,G&A,$161,Czech beauty and cosmetics online retailer,Terminate
"Paint&Wine, Vl. Stevo Dosen",G&A,$159,Paint and wine event experiences for teams,Terminate
Parcelforce Worldwide,Facilities,$155,UK parcel and express delivery services,Consolidate
Advena,G&A,$154,German hotel chain for business travel,Consolidate
Hrvatski Nezavisnici Izvoznici Softvera,Marketing,$154,Croatian software exporters association membership,Optimize costs
Monile J.D.O.O.,G&A,$152,Croatian company with unclear business type,Terminate
Puzzle Promotion J.D.O.O.,Marketing,$143,Croatian promotional and marketing services,Consolidate
ZagrebaäKi Holding D.O.O.,Facilities,$143,Zagreb city utilities holding company,Optimize costs
Event Ors,G&A,$143,Event organization and planning services,Consolidate
Sportkart D.O.O.,G&A,$141,Croatian sports and karting venue for team events,Terminate
"Interaction Design Foundation, Inc",Product,$138,Design education and online training platform,Optimize costs
(Blank),G&A,$137,Unidentified expense with missing vendor name,Terminate
Escape Art D.O.O.,G&A,$133,Team building or entertainment service provider,Terminate
Fero-Term,Facilities,$131,Facilities or HVAC services provider,Optimize costs
Ustanova Za Zdravstvenu Skrb P.P.,G&A,$131,Healthcare services or clinic in Croatia,Optimize costs
Vistaprint,Marketing,$130,Online printing and marketing materials provider,Consolidate
Teb Poslovno Savjetovanje D.O.O.,Professional Services,$129,Business consulting services in Croatia,Terminate
Illunis D.O.O.,G&A,$128,Unclear business services provider,Terminate
The Cook Kitchen,Facilities,$123,Employee catering and food services,Optimize costs
Australian Taxation Office (Ato),Finance,$123,Government tax payment for Australian operations,Optimize costs
Capitol Services,G&A,$120,Business or facilities services provider,Terminate
Bonus Opinio D.O.O.,G&A,$120,Croatian business services provider,Terminate
Dhl Express (Uk) Ltd,G&A,$119,International courier and shipping services,Consolidate
Kat'S Kitchen D.O.O.,Facilities,$119,Employee catering and food services,Optimize costs
Soho Kitchen Ltd,Facilities,$104,Employee catering and food services,Optimize costs
Fortis Trade J.D.O.O.,G&A,$95,Croatian trade or retail supplier,Terminate
Till Trade D.O.O.,G&A,$93,Croatian trade or retail supplier,Terminate
