vendor_name_raw,spend_usd,department_final,category_final,suggestion_final,description_final,confidence,rationale_short,suspected_duplicates,rule_id,needs_llm
"Houlihan Lokey Advisors, Llc",37461.0,M&A,Professional Services,Optimize costs,Investment banking and M&A advisory,High,M&A advisory tied to transaction activity,"Vector Capital Management Lp, Westbrook Advisers",,True
Vector Capital Management Lp,32427.0,M&A,Professional Services,Optimize costs,Private equity and M&A advisory services,Medium,Multiple M&A advisors suggest possible overlap,"Houlihan Lokey Advisors, Llc, Westbrook Advisers",,True
Hubspot Ireland Limited,32187.0,Marketing,CRM,Consolidate,Marketing automation and CRM platform,N/A,,,R002,False
Nefron - Obrt Za Poslovne Usluge,30614.0,Professional Services,General Ops,Optimize costs,Croatian business services provider,Low,Generic services require clearer scope definition,Bijeli Pijesak Obrt Za Poslovno Savjetovanje,,True
"Planful, Inc.",27741.0,Finance,Finance Systems,Consolidate,Financial planning and accounting software,N/A,,,R021,False
Cognism Limited,27013.0,Sales,Sales Engagement,Consolidate,B2B contact data and sales intelligence,N/A,,,R018,False
Uberflip,26091.0,Marketing,Marketing/SEO/PR,Optimize costs,Content marketing and experience platform,High,Marketing tech spend should align with usage,,,True
Agram Life Osiguranje D.O.O.,24952.0,G&A,General Ops,Optimize costs,Croatian life insurance provider for employees,High,Employee insurance should be competitively priced,,,True
Google Ireland Limited,24798.0,SaaS,Productivity/Collab,Consolidate,Workspace collaboration and productivity tools,N/A,,,R005,False
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,24135.0,Legal,Legal Services,Optimize costs,Croatian law firm for legal services,High,Legal services should be usage-based,,,True
Care Health Insurance Company Limited,24045.0,G&A,General Ops,Consolidate,Employee health and insurance benefits,N/A,,,R025,False
New Star Networks(Nsn),23887.0,Engineering,Telecom,Optimize costs,Network and telecom infrastructure services,Medium,Telecom costs should be reviewed for optimization,,,True
Bupa- Supplier,22800.0,G&A,General Ops,Consolidate,Employee health and insurance benefits,N/A,,,R025,False
Shree Info System Solutions Pvt Ltd,22275.0,Engineering,Security/IT Ops,Optimize costs,IT services and systems integration,Medium,IT services spend should align with deliverables,,,True
Technet It Recruitment,21952.0,G&A,Recruiting,Consolidate,Talent acquisition and recruitment services,N/A,,,R011,False
Mightyhive Ltd,19042.0,Marketing,Marketing/SEO/PR,Optimize costs,Marketing analytics and advertising technology,High,MarTech platform should show clear ROI,,,True
Cedar Recruitment Ltd,18537.0,G&A,Recruiting,Consolidate,Talent acquisition and recruitment services,N/A,,,R011,False
Eurofast International Ltd-Greec,18164.0,Finance,Audit/Tax,Optimize costs,International tax and audit services,High,Tax advisory should be annual or project-based,"Taxstudio, Ltd.",,True
Hrvatski Telekom D.D.,18084.0,G&A,Telecom,Consolidate,Telecommunications and mobile services,N/A,,,R008,False
Sodexo Svc India Private Limited,17810.0,Facilities,General Ops,Optimize costs,Facilities management and food services,High,Facilities services should be competitively bid,,,True
Peakon Aps,17108.0,G&A,Productivity/Collab,Optimize costs,Employee engagement and feedback platform,High,Employee survey tool should show engagement value,,,True
Plus Your Business Ltd,17074.0,Finance,Audit/Tax,Consolidate,Accounting and business advisory services,Medium,Multiple accounting firms suggest consolidation,Collards Chartered Accountants,,True
Benefit Systems D.O.O.,16900.0,G&A,General Ops,Optimize costs,Employee benefits administration platform,High,Benefits platform should be evaluated for ROI,,,True
Smart Group Services D.O.O.,16438.0,Professional Services,General Ops,Optimize costs,Croatian business services and consulting,Low,Generic services need scope clarity,"Nefron - Obrt Za Poslovne Usluge, Bijeli Pijesak Obrt Za Poslovno Savjetovanje",,True
Jones Lang Lasalle (Nsw) Pty Ltd,16274.0,Facilities,Coworking/Office,Optimize costs,Commercial real estate and facilities management,High,JLL is major facilities provider worth reviewing,Cbre Limited,,True
"Workato, Inc.",16101.0,SaaS,Productivity/Collab,Optimize costs,Integration and workflow automation platform,N/A,,,R026,False
Konzum Plus D.O.O.,15684.0,Facilities,General Ops,Optimize costs,Croatian retail and food services for office,Medium,Office food/supplies should be competitively priced,,,True
Westbrook Advisers,15360.0,M&A,Professional Services,Consolidate,M&A and financial advisory services,High,Third M&A advisor suggests consolidation opportunity,"Houlihan Lokey Advisors, Llc, Vector Capital Management Lp",,True
Work Easy Space Solutions Private Limited,14913.0,Facilities,Coworking/Office,Consolidate,Coworking and flexible office space solutions,High,Fourth office space vendor confirms consolidation need,"Zagrebtower D.O.O., Gpt Space & Co, Veniture D.O.O.",,True
"Taxstudio, Ltd.",14642.0,Finance,Audit/Tax,Consolidate,Tax preparation and advisory services,Medium,Multiple tax advisors could be consolidated,Eurofast International Ltd-Greec,,True
Pingo D.O.O.,14508.0,Facilities,General Ops,Optimize costs,Croatian facilities or office services,Low,Unclear vendor type requires investigation,,,True
Magazin Raunalni Sistemi D.O.O.,13870.0,Engineering,Security/IT Ops,Optimize costs,Croatian IT and computer systems provider,Medium,IT systems provider should show value,,,True
Tp Prime D.O.O.,13785.0,Facilities,General Ops,Optimize costs,Croatian business services provider,Low,Unclear vendor requires scope investigation,,,True
Granttree Limited,13659.0,Finance,Audit/Tax,Optimize costs,R&D tax credit and grant consulting,High,Tax credit service is performance-based ROI,,,True
Cigna Sg,13249.0,G&A,General Ops,Consolidate,Employee health and insurance benefits,N/A,,,R025,False
Collards Chartered Accountants,12879.0,Finance,Audit/Tax,Consolidate,Chartered accounting and audit services,High,Third accounting firm suggests consolidation,Plus Your Business Ltd,,True
Bupa Australia,12463.0,G&A,General Ops,Consolidate,Employee health and insurance benefits,N/A,,,R025,False
4I Management Consulting Private Limited,12117.0,Professional Services,General Ops,Consolidate,Management consulting services,High,Duplicate with 4I Advisory Services,4I Advisory Services,,True
"Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..",11637.0,Facilities,General Ops,Optimize costs,Zagreb city planning office fees,Medium,Government fees may not be negotiable,,,True
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,11605.0,Professional Services,General Ops,Consolidate,Croatian business consulting services,Medium,Multiple Croatian consultants suggest consolidation,"Nefron - Obrt Za Poslovne Usluge, Smart Group Services D.O.O.",,True
Ramiro D.O.O.,11516.0,Facilities,General Ops,Optimize costs,Croatian facilities or business services,Low,Unclear vendor type requires investigation,,,True
Visalogic Limited,11241.0,G&A,General Ops,Optimize costs,Immigration and visa services for employees,High,Visa services should align with hiring needs,,,True
Poles Ltd - Hanbury Manor,10488.0,G&A,General Ops,Terminate,Event venue for corporate events,Medium,Venue costs should justify business value,,,True
Shoff Darby Companies,10100.0,Professional Services,General Ops,Optimize costs,Business consulting services,Low,Unclear services require scope review,,,True
Emerge Development Consultancy Ltd,10046.0,Professional Services,General Ops,Optimize costs,Development and business consulting,Low,Generic consulting needs clearer deliverables,,,True
Performancepro,10018.0,G&A,Productivity/Collab,Optimize costs,Performance management software platform,Medium,Performance software should show HR value,,,True
Microsoft Ireland Operations Limited,9822.0,SaaS,Productivity/Collab,Consolidate,Office productivity and collaboration suite,N/A,,,R004,False
Catering Muring,9603.0,Facilities,General Ops,Optimize costs,Employee catering and food services,N/A,,,R030,False
Omonia D.O.O.,9559.0,Facilities,General Ops,Optimize costs,Croatian facilities or business services,Low,Unclear vendor requires investigation,,,True
Outreach Corporation,9206.0,Sales,Sales Engagement,Consolidate,Sales engagement and automation platform,N/A,,,R017,False
Cbre Limited,8395.0,Facilities,Coworking/Office,Consolidate,Commercial real estate and facilities services,High,Second major facilities vendor with JLL,Jones Lang Lasalle (Nsw) Pty Ltd,,True
Studentski Centar - Split,8269.0,Facilities,Coworking/Office,Optimize costs,Student center facility rental in Split Croatia,Medium,Evaluate if needed vs coworking alternatives,,,True
The Guardian,8070.0,Marketing,Marketing/SEO/PR,Optimize costs,News media subscription for brand monitoring or advertising,High,Review usage and necessity of subscription,,,True
Intertrust Singapore Corporate Services Pte Ltd - Csc,7360.0,Legal,Legal Services,Consolidate,Corporate secretarial services in Singapore,High,Consolidate with other corp services,"Acclime Corporate Services, Acclime Usa, Inc",,True
Goto Technologies Uk Limited,7316.0,SaaS,Productivity/Collab,Consolidate,GoTo meeting and collaboration platform,High,Check overlap with other meeting tools,,,True
Hrsolution International Ag,6987.0,G&A,General Ops,Consolidate,HR management and consulting services,Medium,Consolidate HR service providers,"Mercer Limited, Australian Payroll Professionals Pty Ltd, Elemental Life Solutions Llp",,True
Trello,6674.0,Product,Productivity/Collab,Consolidate,Project management and task tracking,N/A,,,R014,False
Obrt Sjaj Sunca,6596.0,Facilities,General Ops,Optimize costs,Croatian facility or cleaning services provider,Low,Unclear service type requires validation,,,True
Telefã³Nica Compras Electrã³Nicas S.L.,6157.0,G&A,Telecom,Optimize costs,Spanish telecom services and connectivity,High,Review contract and pricing optimization,Telemach Hrvatska D.O.O.,,True
Allianz Australia Workers' Compensation (Victoria) Limited,6099.0,G&A,General Ops,Consolidate,Employee health and insurance benefits,N/A,,,R025,False
Icici Lombard Gic Ltd,5972.0,G&A,General Ops,Optimize costs,Indian general insurance provider for business coverage,High,Review coverage levels and alternatives,,,True
Mosaic Concept D.O.O.,5731.0,Facilities,General Ops,Optimize costs,Croatian business services possibly interior design,Low,Ambiguous vendor type needs clarification,,,True
Limes Plus D.O.O.,5624.0,Facilities,General Ops,Optimize costs,Croatian business possibly facilities or cleaning,Low,Unclear service offering requires review,,,True
Mercer Limited,5444.0,G&A,Professional Services,Consolidate,Employee benefits and HR consulting firm,High,Consolidate HR/benefits consulting vendors,"Hrsolution International Ag, Australian Payroll Professionals Pty Ltd, Elemental Life Solutions Llp",,True
Acclime Corporate Services,5413.0,Legal,Legal Services,Consolidate,Corporate services and compliance provider,High,Same group as Acclime USA consolidate,"Intertrust Singapore Corporate Services Pte Ltd - Csc, Acclime Usa, Inc",,True
Green Commute Initiative,5402.0,G&A,General Ops,Optimize costs,Employee bike scheme and commute benefits,High,Review employee uptake and ROI,,,True
Tattu Manchester Limited,5366.0,G&A,Travel & Expense,Optimize costs,Restaurant venue for business meals and events,High,Review T&E policy and limit spending,"Inter Continental Chennai Mahabalipuram Resort, Puducherry Backwater Resort Private Limited, Trocadero (London) Hotel Ltd",,True
Athlete Service Ltd,5285.0,Facilities,General Ops,Optimize costs,Corporate wellness or gym facility access,Medium,Evaluate usage vs value provided,Gym4You D.O.O.,,True
Amazon Web Services Inc.,5153.0,Engineering,Cloud,Optimize costs,Cloud infrastructure and computing services,N/A,,,R003,False
Telemach Hrvatska D.O.O.,5134.0,G&A,Telecom,Optimize costs,Croatian telecom and internet service provider,High,Review telecom spend and consolidate,Telefã³Nica Compras Electrã³Nicas S.L.,,True
"Acclime Usa, Inc",4995.0,Legal,Legal Services,Consolidate,US entity of Acclime corporate services group,High,Duplicate vendor consolidate with main Acclime,"Acclime Corporate Services, Intertrust Singapore Corporate Services Pte Ltd - Csc",,True
Centar Za Sigurnost D.O.O.,4991.0,Facilities,Security/IT Ops,Optimize costs,Croatian security center for physical security services,Medium,Review contract terms and necessity,,,True
Profi Bar D.O.O.,4917.0,G&A,Travel & Expense,Optimize costs,Croatian bar or cafe for employee refreshments,Medium,Review if recurring or ad-hoc expense,Tattu Manchester Limited,,True
Pricewaterhousecoopers Llp,4879.0,Professional Services,Audit/Tax,Consolidate,Audit tax and financial advisory services,N/A,,,R009,False
Pinnacle Partnership Ca,4836.0,Professional Services,Professional Services,Optimize costs,Professional services or consulting firm,Low,Unclear service type requires investigation,,,True
The Virtual Legal Counsel Ltd,4800.0,Legal,Legal Services,Consolidate,Legal counsel and advisory services,N/A,,,R010,False
Australian Payroll Professionals Pty Ltd,4399.0,G&A,Professional Services,Optimize costs,Payroll processing services for Australian employees,High,Evaluate vs managed payroll alternatives,"Hrsolution International Ag, Mercer Limited, Elemental Life Solutions Llp",,True
Inter Continental Chennai Mahabalipuram Resort,4393.0,G&A,Travel & Expense,Optimize costs,Hotel resort for business travel or events,High,Review T&E policy and alternatives,"Puducherry Backwater Resort Private Limited, Trocadero (London) Hotel Ltd, Tattu Manchester Limited",,True
Jetbrains S.R.O.,4083.0,Engineering,Productivity/Collab,Optimize costs,Integrated development environment IDE software,N/A,,,R028,False
Crowe Horwath Revizija D.O.O.,4062.0,Professional Services,Audit/Tax,Consolidate,Audit tax and financial advisory services,N/A,,,R009,False
Puducherry Backwater Resort Private Limited,4056.0,G&A,Travel & Expense,Optimize costs,Indian resort for business events or offsites,High,Consolidate event venues and review necessity,"Inter Continental Chennai Mahabalipuram Resort, Trocadero (London) Hotel Ltd, Tattu Manchester Limited",,True
Orionw Llc,4025.0,Professional Services,Professional Services,Terminate,Consulting or professional services provider,Low,Unclear value prop requires validation or terminate,,,True
Adobe Systems Software,3929.0,Marketing,Product/Design,Optimize costs,Creative design and marketing software,N/A,,,R016,False
"Common Desk, Llc",3842.0,Facilities,Coworking/Office,Optimize costs,Flexible coworking and office space,N/A,,,R007,False
Hep Elektra D.O.O.,3735.0,Facilities,General Ops,Optimize costs,Croatian electricity utility provider,High,Review rates and energy efficiency measures,,,True
Zivi Napitak D.O.O.,3700.0,G&A,General Ops,Optimize costs,Croatian beverage supplier for office,Medium,Review office beverage spend and alternatives,,,True
Gym4You D.O.O.,3692.0,Facilities,General Ops,Optimize costs,Croatian gym facility membership or access,High,Consolidate wellness benefits across locations,Athlete Service Ltd,,True
Aha! Labs Inc,3689.0,Product,Product/Design,Consolidate,Product roadmap and management software platform,High,Check overlap with other product tools,,,True
Apple Retail Uk Ltd,3548.0,G&A,General Ops,Optimize costs,Hardware and device purchases,N/A,,,R034,False
"Kryterion, Inc.",3541.0,G&A,General Ops,Optimize costs,Testing and certification platform services,Medium,Review usage and necessity of platform,,,True
Npm Inc,3535.0,Engineering,Productivity/Collab,Optimize costs,NPM enterprise package registry or services,High,Evaluate open source vs paid tier need,,,True
Pinsent Masons Mpillay Llp,4078.0,Legal,Legal Services,Consolidate,International law firm for legal services,High,Consolidate legal service providers,,,True
Calm Achiever(A Unit Of Mohsin Ali Vakil),4071.0,G&A,General Ops,Terminate,Professional services or consulting unclear service,Low,Unclear vendor type and value requires review,,,True
Pluxee India Private Limited,3994.0,G&A,General Ops,Optimize costs,Employee meal vouchers and benefits platform,High,Review utilization and consolidate benefit vendors,,,True
Oâ€™Donnell Salzano Lawyers,3955.0,Legal,Legal Services,Consolidate,Legal counsel and advisory services,N/A,,,R010,False
Papertrail Inc,3900.0,Engineering,Security/IT Ops,Consolidate,Log management and monitoring SaaS platform,High,Consolidate with observability stack if redundant,,,True
Sniper Systems And Solutions Private Limited,3899.0,Engineering,Security/IT Ops,Optimize costs,IT infrastructure and solutions provider,Medium,Review scope and ongoing necessity,,,True
Trocadero (London) Hotel Ltd,3868.0,G&A,Travel & Expense,Optimize costs,London hotel for business travel,High,Enforce corporate travel policy and rates,"Inter Continental Chennai Mahabalipuram Resort, Puducherry Backwater Resort Private Limited, Tattu Manchester Limited",,True
Semrush Inc,3730.0,Marketing,Marketing/SEO/PR,Optimize costs,SEO and digital marketing analytics,N/A,,,R019,False
Golubica Parking D.O.O.,3726.0,Facilities,General Ops,Optimize costs,Employee parking and facilities services,N/A,,,R029,False
Vodafone (Australian),3672.0,G&A,Telecom,Consolidate,Telecommunications and mobile services,N/A,,,R008,False
Ikea Hrvatska D.O.O.,3610.0,Facilities,General Ops,Optimize costs,Office furniture and supplies from IKEA Croatia,High,Review purchasing policy and bulk discounts,,,True
Orcola D.O.O.,3545.0,Facilities,General Ops,Optimize costs,Croatian facilities or business services,Low,Ambiguous vendor requires clarification,,,True
Info Edge India Limited,3536.0,G&A,Recruiting,Optimize costs,Job portal access for recruiting Naukri parent,High,Review job posting spend and alternatives,,,True
Grad Split,3483.0,Facilities,General Ops,Optimize costs,City of Split government fees or taxes,High,Review what this covers and necessity,,,True
T-Mobile,3357.0,G&A,Telecom,Consolidate,Telecommunications and mobile services,N/A,,,R008,False
Akton D.O.O.,3254.0,Facilities,General Ops,Optimize costs,Croatian business services or facilities,Low,Unclear service type requires investigation,,,True
Bureau Veritas Croatia D.O.O.,3200.0,Finance,Audit/Tax,Optimize costs,Quality inspection and certification services,High,Review scope and frequency of inspections,,,True
Cici Prudential Life Insurance Co. Ltd.,3195.0,G&A,General Ops,Consolidate,Employee health and insurance benefits,N/A,,,R025,False
Ncc Services Limited,3036.0,Professional Services,Professional Services,Optimize costs,Business consulting or support services,Low,Unclear scope requires validation of necessity,,,True
Smartsheet Inc.,2995.0,SaaS,Productivity/Collab,Consolidate,Work management and collaboration platform,N/A,,,R023,False
Good Game Global D.O.O.,2954.0,Marketing,Marketing/SEO/PR,Terminate,Gaming or entertainment marketing services,Medium,Review ROI and strategic fit,,,True
Garaå¾A Firule D.O.O.,2930.0,Facilities,General Ops,Optimize costs,Croatian parking garage facility services,High,Review parking contract and alternatives,,,True
Crossland,2924.0,Facilities,General Ops,Optimize costs,Construction or facilities management services,Medium,Review ongoing need and contract terms,,,True
It London,2838.0,Engineering,Security/IT Ops,Optimize costs,IT services and support provider in London,Medium,Review scope vs internal capabilities,,,True
Terrapinn Holdings Ltd,2838.0,Marketing,Marketing/SEO/PR,Optimize costs,Events and conference organizer,High,Review event ROI and attendance policy,,,True
Elemental Life Solutions Llp,2807.0,G&A,Professional Services,Consolidate,HR and employee benefits consulting services,Medium,Too many HR vendors consolidate providers,"Hrsolution International Ag, Mercer Limited, Australian Payroll Professionals Pty Ltd",,True
United Flow Ltd (The Goodness Project),2744.0,G&A,General Ops,Terminate,Corporate social responsibility or wellness program,Low,Unclear value proposition review or terminate,,,True
Mcburneys Charted Accountants,2711.0,Finance,Audit/Tax,Optimize costs,UK chartered accountancy firm providing audit and tax services,High,Standard accounting services; review engagement terms,,,True
Cleverland Winery Resort,2663.0,G&A,Travel & Expense,Consolidate,Winery resort accommodation for team events or travel,Medium,Consolidate venue bookings with preferred vendors,,,True
Ag Grid Ltd,2653.0,Engineering,SaaS,Optimize costs,JavaScript data grid component library for web applications,High,Evaluate usage vs alternatives like Tanstack Table,,,True
Lusha,2606.0,Sales,Sales Engagement,Consolidate,B2B contact data and sales intelligence,N/A,,,R018,False
My Foodiverse Llp,2489.0,Facilities,General Ops,Optimize costs,Employee catering and food services,N/A,,,R030,False
4Imprint Direct Ltd,2436.0,Marketing,Marketing/SEO/PR,Consolidate,Promotional products and branded merchandise supplier,Medium,Consolidate swag vendors to reduce overhead,,,True
City Pantry Ltd,2419.0,Facilities,General Ops,Consolidate,Office meal delivery and catering service,High,Consolidate with other meal providers,City Pantry Ltd;Lunch Nutrition D.O.O.;Oladi D.O.O.,,True
Stipe Piric,2302.0,Professional Services,Professional Services,Consolidate,Individual contractor for professional services,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic,,True
Office Move London,2293.0,Facilities,General Ops,Terminate,Office relocation and moving services provider,High,One-time service; should be complete,,,True
Pink Ribbon Shop,2251.0,Marketing,Marketing/SEO/PR,Terminate,Charity merchandise or promotional items,Low,Low spend; unclear business purpose,,,True
Starhub Ltd (Supplier),2205.0,G&A,Telecom,Consolidate,Telecommunications and mobile services,N/A,,,R008,False
N S Shastri And Co,2194.0,Finance,Audit/Tax,Optimize costs,Indian chartered accountancy and tax consulting firm,High,Regional accounting services; review rates,,,True
John Smith,2163.0,Professional Services,Professional Services,Consolidate,Individual contractor for professional services,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic,,True
Fabiola Thistlewhaite,2154.0,Professional Services,Professional Services,Consolidate,Individual contractor for professional services,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic,,True
Hp Inc Uk Limited,2136.0,G&A,Security/IT Ops,Consolidate,HP hardware equipment and IT supplies,High,Consolidate hardware vendors for better pricing,,,True
Cision Pr Newswire,2110.0,Marketing,Marketing/SEO/PR,Optimize costs,Press release distribution and media monitoring,N/A,,,R020,False
George Anchor,2107.0,Professional Services,Professional Services,Consolidate,Individual contractor for professional services,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic,,True
"Yoxel, Inc",2044.0,Engineering,Productivity/Collab,Optimize costs,Team collaboration and productivity software platform,Medium,Review usage and license counts,,,True
Grt Hotels And Resorts P Ltd,2032.0,G&A,Travel & Expense,Consolidate,Hotel accommodation for business travel,High,Consolidate hotel bookings with travel policy,Grt Hotels And Resorts P Ltd;Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,,True
Apple Pty Ltd,2031.0,G&A,General Ops,Optimize costs,Hardware and device purchases,N/A,,,R034,False
Slack Technologies Limited,1989.0,SaaS,Productivity/Collab,Consolidate,Team messaging and collaboration platform,N/A,,,R013,False
G S Notary Public Limited,1935.0,Legal,Legal Services,Optimize costs,Notary public services for legal documentation,High,Standard legal service; negotiate rates,,,True
Apple Distribution International Ltd,1913.0,G&A,General Ops,Optimize costs,Hardware and device purchases,N/A,,,R034,False
Porezno Savjetniå¡Tvo Tuk D.O.O.,1813.0,Finance,Audit/Tax,Optimize costs,Croatian tax consulting and advisory services,Medium,Regional tax services for Croatian operations,,,True
Susan Lee,1762.0,Professional Services,Professional Services,Consolidate,Individual contractor for professional services,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic,,True
Ansar Madovic,1732.0,Professional Services,Professional Services,Consolidate,Individual contractor for professional services,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic,,True
"Radius Group, Inc",1723.0,G&A,Travel & Expense,Consolidate,Travel management or corporate travel services,Medium,Consolidate with primary travel provider,,,True
Aquila Remete D.O.O.,1706.0,Facilities,General Ops,Consolidate,Croatian restaurant or event venue services,Medium,Consolidate venue providers in region,,,True
Clime India Private Limited,1678.0,G&A,General Ops,Optimize costs,Indian operational services provider,Low,Unclear service category; needs validation,,,True
"Golden Mean, Inc",1659.0,Professional Services,Professional Services,Optimize costs,Professional consulting or advisory services,Low,Unclear business purpose; review necessity,,,True
Paint & Fun Vl. Martina Milkova Nikolova,1654.0,G&A,General Ops,Consolidate,Team building activity and entertainment service,Medium,Consolidate team event vendors,,,True
Carrington Communications,1654.0,Marketing,Marketing/SEO/PR,Optimize costs,Public relations and communications agency,High,Review PR engagement scope and ROI,,,True
Crayond Digital Private Limited,1646.0,Marketing,Marketing/SEO/PR,Consolidate,Digital marketing and web development agency,High,Consolidate digital agencies for efficiency,,,True
Studentski Centar Karlovac,1549.0,G&A,General Ops,Consolidate,Croatian student center venue for events,Medium,Consolidate venue bookings in region,,,True
Lajnap Comedy Booking D.O.O.,1536.0,G&A,General Ops,Terminate,Comedy entertainment booking for team events,Medium,Low-value entertainment expense; reconsider,,,True
British Telecommunications,1493.0,G&A,Telecom,Consolidate,Telecommunications services provider,High,Consolidate telecom vendors for better rates,,,True
