vendor_name_raw,spend_usd,vendor_name_clean,vendor_name_canonical,department_prefill,category_prefill,description_prefill,suggestion_prefill,rule_id,needs_llm
Puducherry Backwater Resort Private Limited,4056.0,puducherry backwater resort private limited,puducherry backwater resort private,,,,,,True
Orionw Llc,4025.0,orionw llc,orionw,,,,,,True
Hep Elektra D.O.O.,3735.0,hep elektra d.o.o.,hep elektra,,,,,,True
Zivi Napitak D.O.O.,3700.0,zivi napitak d.o.o.,zivi napitak,,,,,,True
Gym4You D.O.O.,3692.0,gym4you d.o.o.,gym4you,,,,,,True
Aha! Labs Inc,3689.0,aha labs inc,aha labs,,,,,,True
"Kryterion, Inc.",3541.0,"kryterion, inc.",kryterion,,,,,,True
Npm Inc,3535.0,npm inc,npm,,,,,,True
Pinsent Masons Mpillay Llp,4078.0,pinsent masons mpillay llp,pinsent masons mpillay,,,,,,True
Calm Achiever(A Unit Of Mohsin Ali Vakil),4071.0,calm achiever(a unit of mohsin ali vakil),calm achiever,,,,,,True
Pluxee India Private Limited,3994.0,pluxee india private limited,pluxee india private,,,,,,True
Papertrail Inc,3900.0,papertrail inc,papertrail,,,,,,True
Sniper Systems And Solutions Private Limited,3899.0,sniper systems and solutions private limited,sniper systems and solutions private,,,,,,True
Trocadero (London) Hotel Ltd,3868.0,trocadero (london) hotel ltd,trocadero hotel,,,,,,True
Ikea Hrvatska D.O.O.,3610.0,ikea hrvatska d.o.o.,ikea hrvatska,,,,,,True
Orcola D.O.O.,3545.0,orcola d.o.o.,orcola,,,,,,True
Info Edge India Limited,3536.0,info edge india limited,info edge india,,,,,,True
Grad Split,3483.0,grad split,grad split,,,,,,True
Akton D.O.O.,3254.0,akton d.o.o.,akton,,,,,,True
Bureau Veritas Croatia D.O.O.,3200.0,bureau veritas croatia d.o.o.,bureau veritas croatia,,,,,,True
Ncc Services Limited,3036.0,ncc services limited,ncc services,,,,,,True
Good Game Global D.O.O.,2954.0,good game global d.o.o.,good game global,,,,,,True
Garaå¾A Firule D.O.O.,2930.0,gara a firule d.o.o.,gara a firule,,,,,,True
Crossland,2924.0,crossland,crossland,,,,,,True
It London,2838.0,it london,it london,,,,,,True
Terrapinn Holdings Ltd,2838.0,terrapinn holdings ltd,terrapinn holdings,,,,,,True
Elemental Life Solutions Llp,2807.0,elemental life solutions llp,elemental life solutions,,,,,,True
United Flow Ltd (The Goodness Project),2744.0,united flow ltd (the goodness project),united flow,,,,,,True
Mcburneys Charted Accountants,2711.0,mcburneys charted accountants,mcburneys charted accountants,,,,,,True
Cleverland Winery Resort,2663.0,cleverland winery resort,cleverland winery resort,,,,,,True
Ag Grid Ltd,2653.0,ag grid ltd,ag grid,,,,,,True
4Imprint Direct Ltd,2436.0,4imprint direct ltd,4imprint direct,,,,,,True
City Pantry Ltd,2419.0,city pantry ltd,city pantry,,,,,,True
Stipe Piric,2302.0,stipe piric,stipe piric,,,,,,True
Office Move London,2293.0,office move london,office move london,,,,,,True
Pink Ribbon Shop,2251.0,pink ribbon shop,pink ribbon shop,,,,,,True
N S Shastri And Co,2194.0,n s shastri and co,n s shastri and,,,,,,True
John Smith,2163.0,john smith,john smith,,,,,,True
Fabiola Thistlewhaite,2154.0,fabiola thistlewhaite,fabiola thistlewhaite,,,,,,True
Hp Inc Uk Limited,2136.0,hp inc uk limited,hp inc uk,,,,,,True
George Anchor,2107.0,george anchor,george anchor,,,,,,True
"Yoxel, Inc",2044.0,"yoxel, inc",yoxel,,,,,,True
Grt Hotels And Resorts P Ltd,2032.0,grt hotels and resorts p ltd,grt hotels and resorts p,,,,,,True
G S Notary Public Limited,1935.0,g s notary public limited,g s notary public,,,,,,True
Porezno Savjetniå¡Tvo Tuk D.O.O.,1813.0,porezno savjetni tvo tuk d.o.o.,porezno savjetni tvo tuk,,,,,,True
Susan Lee,1762.0,susan lee,susan lee,,,,,,True
Ansar Madovic,1732.0,ansar madovic,ansar madovic,,,,,,True
"Radius Group, Inc",1723.0,"radius group, inc",radius group,,,,,,True
Aquila Remete D.O.O.,1706.0,aquila remete d.o.o.,aquila remete,,,,,,True
Clime India Private Limited,1678.0,clime india private limited,clime india private,,,,,,True
"Golden Mean, Inc",1659.0,"golden mean, inc",golden mean,,,,,,True
Paint & Fun Vl. Martina Milkova Nikolova,1654.0,paint & fun vl. martina milkova nikolova,paint & fun vl. martina milkova nikolova,,,,,,True
Carrington Communications,1654.0,carrington communications,carrington communications,,,,,,True
Crayond Digital Private Limited,1646.0,crayond digital private limited,crayond digital private,,,,,,True
Studentski Centar Karlovac,1549.0,studentski centar karlovac,studentski centar karlovac,,,,,,True
Lajnap Comedy Booking D.O.O.,1536.0,lajnap comedy booking d.o.o.,lajnap comedy booking,,,,,,True
British Telecommunications,1493.0,british telecommunications,british telecommunications,,,,,,True
Etm Concessions Ltd,1419.0,etm concessions ltd,etm concessions,,,,,,True
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,1406.0,radisson grt - unit of hotels & resorts pvt ltd,radisson grt - unit of hotels & resorts,,,,,,True
Ariba Inc,1363.0,ariba inc,ariba,,,,,,True
Chamiers Recreation Club,1338.0,chamiers recreation club,chamiers recreation club,,,,,,True
Inside Edge Novated Leasing,1287.0,inside edge novated leasing,inside edge novated leasing,,,,,,True
Rhea D.O.O.,1253.0,rhea d.o.o.,rhea,,,,,,True
P S Recreation Club,1219.0,p s recreation club,p s recreation club,,,,,,True
Fastspring,1179.0,fastspring,fastspring,,,,,,True
Dsv Solutions A/S,1162.0,dsv solutions a s,dsv solutions a s,,,,,,True
Icare Nsw,1150.0,icare nsw,icare nsw,,,,,,True
Amazon.Co.Uk,1107.0,amazon.co.uk,amazon.co.uk,,,,,,True
Backoffice Associates,1080.0,backoffice associates,backoffice associates,,,,,,True
Oladi D.O.O.,1064.0,oladi d.o.o.,oladi,,,,,,True
Integrated Personnel Services,1054.0,integrated personnel services,integrated personnel services,,,,,,True
Mãœller Trgovina Zagreb D.O.O.,1051.0,m ller trgovina zagreb d.o.o.,m ller trgovina zagreb,,,,,,True
Lunch Nutrition D.O.O.,1012.0,lunch nutrition d.o.o.,lunch nutrition,,,,,,True
Winmaxi Tours & Travels,1001.0,winmaxi tours & travels,winmaxi tours & travels,,,,,,True
Digitalna Produkcija J.D.O.O.,993.0,digitalna produkcija j.d.o.o.,digitalna produkcija,,,,,,True
Computershare-Caboodle Technology Limited,981.0,computershare-caboodle technology limited,computershare-caboodle technology,,,,,,True
Trending Technology Services Gmbh,961.0,trending technology services gmbh,trending technology services,,,,,,True
"Godaddy.Com, Llc",923.0,"godaddy.com, llc",godaddy.com,,,,,,True
Time Out Group,920.0,time out group,time out group,,,,,,True
Raiffeisenbank Austria D.D.,920.0,raiffeisenbank austria d.d.,raiffeisenbank austria,,,,,,True
Galop-Prijevoz D.O.O.,908.0,galop-prijevoz d.o.o.,galop-prijevoz,,,,,,True
Lane Ip Limited,851.0,lane ip limited,lane ip,,,,,,True
Urbani Eventi D.O.O.,851.0,urbani eventi d.o.o.,urbani eventi,,,,,,True
Smashing Media Ag,850.0,smashing media ag,smashing media,,,,,,True
Epignosis Llc,833.0,epignosis llc,epignosis,,,,,,True
Croatia Airlines,832.0,croatia airlines,croatia airlines,,,,,,True
Bb Football Scouting J.D.O.O.,823.0,bb football scouting j.d.o.o.,bb football scouting,,,,,,True
Boe Croatia D.O.O.,814.0,boe croatia d.o.o.,boe croatia,,,,,,True
Potomac D.O.O.,806.0,potomac d.o.o.,potomac,,,,,,True
"President Hotel And Tower Co., Ltd",803.0,"president hotel and tower co., ltd",president hotel and tower,,,,,,True
Friends Sports Club,797.0,friends sports club,friends sports club,,,,,,True
The Cycle Gap Adyar,765.0,the cycle gap adyar,the cycle gap adyar,,,,,,True
Kilgannon & Partners Llp,681.0,kilgannon & partners llp,kilgannon & partners,,,,,,True
Uk Postbox Limited,670.0,uk postbox limited,uk postbox,,,,,,True
Blink Events,664.0,blink events,blink events,,,,,,True
Grafo-Jan,662.0,grafo-jan,grafo-jan,,,,,,True
Mesa Verde,662.0,mesa verde,mesa verde,,,,,,True
Pixsy Inc,613.0,pixsy inc,pixsy,,,,,,True
Dun & Bradstreet D.O.O.,610.0,dun & bradstreet d.o.o.,dun & bradstreet,,,,,,True
Trans-Agram Obrt Za Dostavu,581.0,trans-agram obrt za dostavu,trans-agram obrt za dostavu,,,,,,True
Arena Center Zagreb D.O.O.,567.0,arena center zagreb d.o.o.,arena center zagreb,,,,,,True
Obrt Za Ugostiteljstvo Mirakul,565.0,obrt za ugostiteljstvo mirakul,obrt za ugostiteljstvo mirakul,,,,,,True
Oakberry Jr D.O.O.,535.0,oakberry jr d.o.o.,oakberry jr,,,,,,True
Tau On-Line D.O.O.,534.0,tau on-line d.o.o.,tau on-line,,,,,,True
Magic Mountain Saloon,524.0,magic mountain saloon,magic mountain saloon,,,,,,True
Hotel Zonar,523.0,hotel zonar,hotel zonar,,,,,,True
Roto Dinamic D.O.O.,512.0,roto dinamic d.o.o.,roto dinamic,,,,,,True
Tm Forum,510.0,tm forum,tm forum,,,,,,True
Marvie Hotel - Krupa D.O.O.,502.0,marvie hotel - krupa d.o.o.,marvie hotel - krupa,,,,,,True
Merchandise Ltd,490.0,merchandise ltd,merchandise,,,,,,True
Yellow Submarine D.O.O.,486.0,yellow submarine d.o.o.,yellow submarine,,,,,,True
Streamlinereforms Inc,483.0,streamlinereforms inc,streamlinereforms,,,,,,True
Make And Grow Ltd,483.0,make and grow ltd,make and grow,,,,,,True
Obiteljski Hoteli D.O.O.,474.0,obiteljski hoteli d.o.o.,obiteljski hoteli,,,,,,True
Rudan D.O.O.,473.0,rudan d.o.o.,rudan,,,,,,True
Entrio Tehnologije D.O.O.,473.0,entrio tehnologije d.o.o.,entrio tehnologije,,,,,,True
Vivat Fina Vina D.O.O.,467.0,vivat fina vina d.o.o.,vivat fina vina,,,,,,True
E-Disti D.O.O.,458.0,e-disti d.o.o.,e-disti,,,,,,True
Greencell Express Private Limited,457.0,greencell express private limited,greencell express private,,,,,,True
Edwardian Pastoria Hotels Ltd (The Londoner),433.0,edwardian pastoria hotels ltd (the londoner),edwardian pastoria hotels,,,,,,True
Tiganda J.D.O.O.,432.0,tiganda j.d.o.o.,tiganda,,,,,,True
"Franklin, Gringer & Cohen, P.C.",427.0,"franklin, gringer & cohen, p.c.","franklin, gringer & cohen",,,,,,True
Blitz - Cinestar D.O.O.,426.0,blitz - cinestar d.o.o.,blitz - cinestar,,,,,,True
Lancefield Bus Service,412.0,lancefield bus service,lancefield bus service,,,,,,True
Super Odrediå¡Te D.O.O.,378.0,super odredi te d.o.o.,super odredi te,,,,,,True
Pmi Global Operations Center,378.0,pmi global operations center,pmi global operations center,,,,,,True
Student Packers & Movers,371.0,student packers & movers,student packers & movers,,,,,,True
Del Posto D.O.O.,364.0,del posto d.o.o.,del posto,,,,,,True
Inicijativa Centar Za Edukaciju,358.0,inicijativa centar za edukaciju,inicijativa centar za edukaciju,,,,,,True
Niva Transport J.D.O.O.,358.0,niva transport j.d.o.o.,niva transport,,,,,,True
Doctor Anywhere Operations Pte Ltd,347.0,doctor anywhere operations pte ltd,doctor anywhere operations,,,,,,True
Spar Hrvatska D.O.O.,341.0,spar hrvatska d.o.o.,spar hrvatska,,,,,,True
Pepe'S Italian And Liquor,339.0,pepe's italian and liquor,pepe's italian and liquor,,,,,,True
"Pluralsight, Llc",318.0,"pluralsight, llc",pluralsight,,,,,,True
Maniax Melbourne Cbd,315.0,maniax melbourne cbd,maniax melbourne cbd,,,,,,True
Dnsimple,312.0,dnsimple,dnsimple,,,,,,True
Treci Posao D.O.O.,307.0,treci posao d.o.o.,treci posao,,,,,,True
Formswift,301.0,formswift,formswift,,,,,,True
Safestore Ltd,287.0,safestore ltd,safestore,,,,,,True
Split Tech City,284.0,split tech city,split tech city,,,,,,True
National Securities Depository Limited(Nsdl),281.0,national securities depository limited(nsdl),national securities depository,,,,,,True
Adamma Info Services Private Limited,273.0,adamma info services private limited,adamma info services private,,,,,,True
The Riding House Cafe,265.0,the riding house cafe,the riding house cafe,,,,,,True
Stillmark Zagreb D.O.O.,263.0,stillmark zagreb d.o.o.,stillmark zagreb,,,,,,True
Taste Of Health,259.0,taste of health,taste of health,,,,,,True
Infodata,241.0,infodata,infodata,,,,,,True
Amazon (Aus),233.0,amazon (aus),amazon,,,,,,True
Regency Hampers Ltd,248.0,regency hampers ltd,regency hampers,,,,,,True
Bella Operation A/S,241.0,bella operation a s,bella operation a s,,,,,,True
The Plant Man,235.0,the plant man,the plant man,,,,,,True
Media Promo Plus D.O.O.,226.0,media promo plus d.o.o.,media promo plus,,,,,,True
Expert-Ing D.O.O.,225.0,expert-ing d.o.o.,expert-ing,,,,,,True
Djs For U,220.0,djs for u,djs for u,,,,,,True
Freepik Company,203.0,freepik company,freepik,,,,,,True
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,199.0,nastavni zavod za javno zdravstvo dr. andrija tampar,nastavni zavod za javno zdravstvo dr. andrija tampar,,,,,,True
Rishi Events And Entainment,198.0,rishi events and entainment,rishi events and entainment,,,,,,True
Kosmaz Technologies Croatia,195.0,kosmaz technologies croatia,kosmaz technologies croatia,,,,,,True
Dhl,191.0,dhl,dhl,,,,,,True
Hotel Laguna D.D.,190.0,hotel laguna d.d.,hotel laguna,,,,,,True
Bigshare Services Private Limited,188.0,bigshare services private limited,bigshare services private,,,,,,True
Zettanet,183.0,zettanet,zettanet,,,,,,True
Hahn Air,183.0,hahn air,hahn air,,,,,,True
Vitality Works,182.0,vitality works,vitality works,,,,,,True
Avoxi Inc,178.0,avoxi inc,avoxi,,,,,,True
"Solarwinds, Inc",166.0,"solarwinds, inc",solarwinds,,,,,,True
Xenon Savjetovanje D.O.O.,164.0,xenon savjetovanje d.o.o.,xenon savjetovanje,,,,,,True
Floom Ltd,162.0,floom ltd,floom,,,,,,True
Notino S.R.O.,161.0,notino s.r.o.,notino,,,,,,True
"Paint&Wine, Vl. Stevo Dosen",159.0,"paint&wine, vl. stevo dosen","paint&wine, vl. stevo dosen",,,,,,True
Parcelforce Worldwide,155.0,parcelforce worldwide,parcelforce worldwide,,,,,,True
Advena,154.0,advena,advena,,,,,,True
Hrvatski Nezavisnici Izvoznici Softvera,154.0,hrvatski nezavisnici izvoznici softvera,hrvatski nezavisnici izvoznici softvera,,,,,,True
Monile J.D.O.O.,152.0,monile j.d.o.o.,monile,,,,,,True
Puzzle Promotion J.D.O.O.,143.0,puzzle promotion j.d.o.o.,puzzle promotion,,,,,,True
ZagrebaäKi Holding D.O.O.,143.0,zagreba ki holding d.o.o.,zagreba ki holding,,,,,,True
Event Ors,143.0,event ors,event ors,,,,,,True
Sportkart D.O.O.,141.0,sportkart d.o.o.,sportkart,,,,,,True
"Interaction Design Foundation, Inc",138.0,"interaction design foundation, inc",interaction design foundation,,,,,,True
(Blank),137.0,(blank),,,,,,,True
Escape Art D.O.O.,133.0,escape art d.o.o.,escape art,,,,,,True
Fero-Term,131.0,fero-term,fero-term,,,,,,True
Ustanova Za Zdravstvenu Skrb P.P.,131.0,ustanova za zdravstvenu skrb p.p.,ustanova za zdravstvenu skrb p.p,,,,,,True
Vistaprint,130.0,vistaprint,vistaprint,,,,,,True
Teb Poslovno Savjetovanje D.O.O.,129.0,teb poslovno savjetovanje d.o.o.,teb poslovno savjetovanje,,,,,,True
Illunis D.O.O.,128.0,illunis d.o.o.,illunis,,,,,,True
Australian Taxation Office (Ato),123.0,australian taxation office (ato),australian taxation office,,,,,,True
Capitol Services,120.0,capitol services,capitol services,,,,,,True
Bonus Opinio D.O.O.,120.0,bonus opinio d.o.o.,bonus opinio,,,,,,True
Dhl Express (Uk) Ltd,119.0,dhl express (uk) ltd,dhl express,,,,,,True
Fortis Trade J.D.O.O.,95.0,fortis trade j.d.o.o.,fortis trade,,,,,,True
Till Trade D.O.O.,93.0,till trade d.o.o.,till trade,,,,,,True
Pret A Manger,92.0,pret a manger,pret a manger,,,,,,True
Axil Coffee Roasters,89.0,axil coffee roasters,axil coffee roasters,,,,,,True
Pepco Croatia D.O.O.,89.0,pepco croatia d.o.o.,pepco croatia,,,,,,True
Lemia D.O.O.,88.0,lemia d.o.o.,lemia,,,,,,True
Retriever Llc,88.0,retriever llc,retriever,,,,,,True
Meluba Limited,88.0,meluba limited,meluba,,,,,,True
London Waste Management,86.0,london waste management,london waste management,,,,,,True
Hilton Garden Inn - Zagreb City Hotels D.O.O.,82.0,hilton garden inn - zagreb city hotels d.o.o.,hilton garden inn - zagreb city hotels,,,,,,True
Lider Media D.O.O.,80.0,lider media d.o.o.,lider media,,,,,,True
Uptime Robot Service Provider Ltd,78.0,uptime robot service provider ltd,uptime robot service provider,,,,,,True
Mithras Consultants,77.0,mithras consultants,mithras consultants,,,,,,True
6Sense Insights Inc,76.0,6sense insights inc,6sense insights,,,,,,True
Ico,67.0,ico,ico,,,,,,True
Sportska Udruga Split,66.0,sportska udruga split,sportska udruga split,,,,,,True
Prezzee,64.0,prezzee,prezzee,,,,,,True
Inet Telecoms Ltd.,63.0,inet telecoms ltd.,inet telecoms,,,,,,True
Wolt Enterprises Oy,62.0,wolt enterprises oy,wolt enterprises oy,,,,,,True
Platinum Office D.O.O.,62.0,platinum office d.o.o.,platinum office,,,,,,True
Snappy Snaps,59.0,snappy snaps,snappy snaps,,,,,,True
New Block D.O.O.,56.0,new block d.o.o.,new block,,,,,,True
Cayman Islands Government,56.0,cayman islands government,cayman islands government,,,,,,True
Officeworks,56.0,officeworks,officeworks,,,,,,True
Click Send Pty Ltd,55.0,click send pty ltd,click send,,,,,,True
Kall Kwik Centre 565,55.0,kall kwik centre 565,kall kwik centre 565,,,,,,True
Shilton Hospitality Llp,55.0,shilton hospitality llp,shilton hospitality,,,,,,True
Axosoft Gitkraken,54.0,axosoft gitkraken,axosoft gitkraken,,,,,,True
Istra Wine,53.0,istra wine,istra wine,,,,,,True
Gophr,52.0,gophr,gophr,,,,,,True
Pan-Pek D.O.O.,50.0,pan-pek d.o.o.,pan-pek,,,,,,True
Uber *Eats,50.0,uber eats,uber eats,,,,,,True
Fedex Express Uk Transportation Ltd,47.0,fedex express uk transportation ltd,fedex express uk transportation,,,,,,True
Garden City D.O.O.,45.0,garden city d.o.o.,garden city,,,,,,True
Livingstone,41.0,livingstone,livingstone,,,,,,True
Ekupi D.O.O.,40.0,ekupi d.o.o.,ekupi,,,,,,True
Farmacia - Specijalizirana Prodavaonica D.O.O.,36.0,farmacia - specijalizirana prodavaonica d.o.o.,farmacia - specijalizirana prodavaonica,,,,,,True
Cupcake Central (Life Is Sweet Bakery),35.0,cupcake central (life is sweet bakery),cupcake central,,,,,,True
Post Office Ltd,32.0,post office ltd,post office,,,,,,True
Currys Pc World,30.0,currys pc world,currys pc world,,,,,,True
Brodomerkur D.D.,29.0,brodomerkur d.d.,brodomerkur,,,,,,True
Sport Vision D.O.O.,26.0,sport vision d.o.o.,sport vision,,,,,,True
Harissa D.O.O.,21.0,harissa d.o.o.,harissa,,,,,,True
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,20.0,specijalisticka ordinacija medicine rada i sporta ina kardos,specijalisticka ordinacija medicine rada i sporta ina kardos,,,,,,True
Specijalisticka Ordinacija Medicine Rada Helena Blazic,20.0,specijalisticka ordinacija medicine rada helena blazic,specijalisticka ordinacija medicine rada helena blazic,,,,,,True
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,20.0,ustanova za medicinu rada i sporta dr. novacki,ustanova za medicinu rada i sporta dr. novacki,,,,,,True
Bakemono Bakers Melbourne,18.0,bakemono bakers melbourne,bakemono bakers melbourne,,,,,,True
Coles,18.0,coles,coles,,,,,,True
