vendor_name_raw,spend_usd,department,category,description_1l,suggestion,confidence,rationale_short,suspected_duplicates
Etm Concessions Ltd,1419.0,Facilities,General Ops,Concession and catering services,Consolidate,Medium,Consolidate with other food vendors,City Pantry Ltd;Lunch Nutrition D.O.O.;Oladi D.O.O.
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,1406.0,G&A,Travel & Expense,Hotel accommodation for business travel,Consolidate,High,Same hotel chain as Grt Hotels,Grt Hotels And Resorts P Ltd;Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd
Ariba Inc,1363.0,Finance,Finance Systems,Procurement and spend management software,Optimize costs,High,Review usage vs platform adoption,
Chamiers Recreation Club,1338.0,G&A,General Ops,Recreation club membership or venue services,Consolidate,Medium,Consolidate recreation/venue providers,Chamiers Recreation Club;P S Recreation Club
Inside Edge Novated Leasing,1287.0,Finance,General Ops,Australian novated vehicle leasing service,Optimize costs,High,Review leasing terms and necessity,
Rhea D.O.O.,1253.0,G&A,General Ops,Croatian service provider,Optimize costs,Low,Unclear service category; needs validation,
P S Recreation Club,1219.0,G&A,General Ops,Recreation club membership or venue services,Consolidate,Medium,Consolidate recreation/venue providers,Chamiers Recreation Club;P S Recreation Club
Fastspring,1179.0,Finance,Finance Systems,E-commerce payment processing and subscription management,Optimize costs,High,Review transaction fees and alternatives,
Dsv Solutions A/S,1162.0,G&A,General Ops,Logistics and freight forwarding services,Optimize costs,High,Review shipping rates and frequency,
Icare Nsw,1150.0,Finance,Finance Systems,Australian workers compensation insurance,Optimize costs,High,Mandatory insurance; review coverage terms,
Amazon.Co.Uk,1107.0,G&A,General Ops,General supplies and equipment marketplace,Consolidate,Medium,Consolidate purchasing through preferred channels,
Backoffice Associates,1080.0,Professional Services,Professional Services,Back office support and administrative services,Consolidate,High,Consolidate outsourced services,
Oladi D.O.O.,1064.0,Facilities,General Ops,Croatian restaurant and catering service,Consolidate,High,Consolidate with other meal providers,City Pantry Ltd;Lunch Nutrition D.O.O.;Oladi D.O.O.
Integrated Personnel Services,1054.0,G&A,Recruiting,Staffing and recruitment services,Consolidate,High,Consolidate with primary recruiting vendors,
Mãœller Trgovina Zagreb D.O.O.,1051.0,G&A,General Ops,Croatian retail and trade supplies,Optimize costs,Medium,Review purchasing necessity and alternatives,
Lunch Nutrition D.O.O.,1012.0,Facilities,General Ops,Croatian meal delivery and nutrition service,Consolidate,High,Consolidate with other meal providers,City Pantry Ltd;Lunch Nutrition D.O.O.;Oladi D.O.O.
Winmaxi Tours & Travels,1001.0,G&A,Travel & Expense,Travel booking and tour services,Consolidate,High,Consolidate with primary travel provider,
Digitalna Produkcija J.D.O.O.,993.0,Marketing,Marketing/SEO/PR,Croatian digital production and media services,Consolidate,Medium,Consolidate digital agencies,
Computershare-Caboodle Technology Limited,981.0,Finance,Finance Systems,Share registry and equity management platform,Optimize costs,High,Review usage and subscription tiers,
Trending Technology Services Gmbh,961.0,Engineering,Security/IT Ops,German IT services and technology consulting,Optimize costs,Medium,Review engagement scope and deliverables,
"Godaddy.Com, Llc",923.0,Engineering,Security/IT Ops,Domain registration and web hosting services,Optimize costs,High,Review domain portfolio and hosting needs,
