vendor_name_raw,spend_usd,department,category,description_1l,suggestion,confidence,rationale_short,suspected_duplicates
Yellow Submarine D.O.O.,486.0,G&A,General Ops,Restaurant or bar services,Consolidate,Medium,Consolidate food vendors,Mesa Verde;Obrt Za Ugostiteljstvo Mirakul;Oakberry Jr D.O.O.;Magic Mountain Saloon;Yellow Submarine D.O.O.;Vivat Fina Vina D.O.O.;Del Posto D.O.O.
Streamlinereforms Inc,483.0,Professional Services,General Ops,Business process improvement consulting,Terminate,Medium,Project-based; verify if engagement complete,
Make And Grow Ltd,483.0,Professional Services,General Ops,Business consulting and advisory services,Terminate,Medium,Validate ongoing project necessity,
Obiteljski Hoteli D.O.O.,474.0,G&A,Travel & Expense,Croatian family hotel chain,Consolidate,High,Consolidate hotels under travel policy,President Hotel And Tower Co., Ltd;Hotel Zonar;Marvie Hotel - Krupa D.O.O.;Obiteljski Hoteli D.O.O.;Edwardian Pastoria Hotels Ltd (The Londoner)
Rudan D.O.O.,473.0,G&A,General Ops,Croatian business services provider,Terminate,Low,Unclear business purpose; validate need,
Entrio Tehnologije D.O.O.,473.0,SaaS,Marketing/SEO/PR,Event ticketing and registration platform,Optimize costs,High,Review against Eventbrite or alternatives,
Vivat Fina Vina D.O.O.,467.0,G&A,General Ops,Croatian wine supplier for events,Consolidate,High,Consolidate beverage vendors,Mesa Verde;Obrt Za Ugostiteljstvo Mirakul;Oakberry Jr D.O.O.;Magic Mountain Saloon;Yellow Submarine D.O.O.;Vivat Fina Vina D.O.O.;Del Posto D.O.O.
E-Disti D.O.O.,458.0,G&A,General Ops,Croatian e-commerce or distribution service,Terminate,Low,Unclear service type; verify necessity,
Greencell Express Private Limited,457.0,G&A,Travel & Expense,Express transport service in India,Consolidate,Medium,Consolidate transport under travel policy,Galop-Prijevoz D.O.O.;Trans-Agram Obrt Za Dostavu;Croatia Airlines;Greencell Express Private Limited;Lancefield Bus Service;Super Odredište D.O.O.
Edwardian Pastoria Hotels Ltd (The Londoner),433.0,G&A,Travel & Expense,Hotel accommodation in London,Consolidate,High,Consolidate hotels under travel policy,President Hotel And Tower Co., Ltd;Hotel Zonar;Marvie Hotel - Krupa D.O.O.;Obiteljski Hoteli D.O.O.;Edwardian Pastoria Hotels Ltd (The Londoner)
Tiganda J.D.O.O.,432.0,G&A,General Ops,Croatian business services provider,Terminate,Low,Unclear business purpose; validate need,
"Franklin, Gringer & Cohen, P.C.",427.0,Legal,Legal Services,Law firm legal advisory services,Consolidate,High,Consolidate legal vendors to primary firm,Lane Ip Limited;Kilgannon & Partners Llp;Pixsy Inc;Franklin, Gringer & Cohen, P.C.
Blitz - Cinestar D.O.O.,426.0,Marketing,General Ops,Cinema advertising or entertainment venue,Terminate,Medium,Review marketing ROI and alternatives,
Lancefield Bus Service,412.0,G&A,Travel & Expense,Bus charter or transport service,Consolidate,Medium,Consolidate transport under travel policy,Galop-Prijevoz D.O.O.;Trans-Agram Obrt Za Dostavu;Croatia Airlines;Greencell Express Private Limited;Lancefield Bus Service;Super Odredište D.O.O.
Super Odredište D.O.O.,378.0,G&A,Travel & Expense,Croatian travel or tourism services,Consolidate,Medium,Consolidate travel vendors,Galop-Prijevoz D.O.O.;Trans-Agram Obrt Za Dostavu;Croatia Airlines;Greencell Express Private Limited;Lancefield Bus Service;Super Odredište D.O.O.
Pmi Global Operations Center,378.0,G&A,General Ops,Global operations or consulting service,Terminate,Low,Unclear affiliation; verify ongoing need,
Student Packers & Movers,371.0,Facilities,General Ops,Office relocation and moving service,Terminate,High,One-time service; no ongoing need,
Del Posto D.O.O.,364.0,G&A,General Ops,Italian restaurant services,Consolidate,High,Consolidate meal vendors under T&E policy,Mesa Verde;Obrt Za Ugostiteljstvo Mirakul;Oakberry Jr D.O.O.;Magic Mountain Saloon;Yellow Submarine D.O.O.;Vivat Fina Vina D.O.O.;Del Posto D.O.O.
